,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind Speed
117,Belmonte,0,PT,1514065563,84,40.36,-7.35,0.44,1.49
118,Gandajika,12,CD,1514065443,98,-6.75,23.95,20.37,1.94
119,Agirish,80,RU,1514065564,74,61.92,63.02,-8.44,3.46
120,Breytovo,68,RU,1514065565,87,58.3,37.86,-5.11,8.09
121,Georgetown,40,GY,1514062800,69,6.8,-58.16,28.0,6.2
122,Kidal,76,ML,1514065566,25,18.44,1.41,14.59,4.44
123,Namibe,36,AO,1514065567,100,-15.19,12.15,20.59,4.51
124,Baghdad,0,IQ,1514062800,55,33.3,44.38,16.0,6.2
125,Colares,0,PT,1514064600,76,38.8,-9.45,8.3,1.5
126,Port Blair,0,IN,1514065568,100,11.67,92.75,27.74,6.06
127,Kokorevka,92,RU,1514065569,89,52.59,34.27,-4.66,5.84
128,Stonehaven,20,GB,1514064000,87,56.96,-2.22,8.0,4.1
129,Cabedelo,20,BR,1514062800,74,-6.97,-34.84,27.0,4.6
130,Riyadh,0,SA,1514062800,40,24.63,46.72,12.0,1.0
131,Rawson,0,AR,1514065570,26,-43.3,-65.11,21.22,5.49
132,Ponta Delgada,20,PT,1514064600,72,37.73,-25.67,17.0,2.1
133,Whitley Bay,20,GB,1514064000,87,55.04,-1.44,10.66,9.8
134,Iqaluit,20,CA,1514062800,75,63.75,-68.52,-28.0,1.5
135,Ostrovnoy,32,RU,1514065572,73,68.05,39.51,-10.44,3.71
136,Sao Joao da Barra,0,BR,1514062800,74,-21.64,-41.05,27.0,12.9
137,General Roca,0,AR,1514062800,53,-39.03,-67.58,23.0,1.5
138,Ondjiva,68,AO,1514065574,94,-17.07,15.73,18.59,4.64
139,Hwange,24,ZW,1514065574,84,-18.35,26.5,23.19,1.36
140,Thompson,5,CA,1514062800,67,55.74,-97.86,-32.0,4.6
141,Saint-Philippe,90,CA,1514065440,92,45.36,-73.48,-5.45,3.1
142,Harper,1,US,1514063700,30,30.3,-99.24,14.69,1.46
143,Taoudenni,0,ML,1514065576,27,22.68,-3.98,12.84,6.84
144,Novo Cruzeiro,76,BR,1514065577,62,-17.47,-41.88,25.89,3.16
145,Warmbad,75,DE,1514064000,81,50.67,13.08,6.43,8.2
146,Hobyo,44,SO,1514065578,82,5.35,48.53,24.57,10.44
147,Nicoya,20,CR,1514062800,55,10.15,-85.45,31.0,9.3
148,Cayenne,0,GF,1514062800,88,4.94,-52.33,25.0,1.5
149,Jackson,90,US,1514063700,86,35.61,-88.82,4.49,6.2
150,Brae,64,GB,1514064000,81,60.4,-1.35,7.57,5.7
151,Shubarkuduk,68,KZ,1514065581,80,49.15,56.49,-10.16,1.51
152,Husavik,0,CA,1514065582,73,50.56,-96.99,-17.61,5.79
153,Namyslow,75,PL,1514064600,81,51.08,17.72,9.0,10.3
154,Waddan,0,LY,1514065583,87,29.16,16.14,5.62,3.39
155,Baie-Comeau,90,CA,1514063460,85,49.22,-68.15,-9.82,9.3
156,Nanyamba,8,MZ,1514065584,78,-10.69,39.81,24.99,4.04
157,Visselhovede,92,DE,1514064000,87,52.98,9.6,8.67,7.7
158,Puerto Quijarro,75,BO,1514062800,94,-19.0,-57.72,24.51,2.1
159,Grenville,90,CA,1514065440,92,45.62,-74.6,-6.44,3.1
160,Mossendjo,44,CG,1514065586,96,-2.95,12.72,23.39,0.89
161,Sabha,0,LY,1514065587,86,27.03,14.43,5.39,3.59
162,Faya,0,SA,1514062800,27,18.39,42.45,11.0,1.5
163,Solginskiy,64,RU,1514065587,89,61.05,41.34,-4.86,5.16
164,Sao Filipe,92,CV,1514065588,93,14.9,-24.5,23.54,7.59
165,Baijiantan,12,CN,1514065588,72,45.63,85.18,-15.91,1.84
166,Karlstad,92,SE,1514064000,100,59.38,13.5,2.0,5.1
167,Zholymbet,68,KZ,1514065589,86,51.74,71.71,-11.29,5.51
168,Sepolno Krajenskie,90,PL,1514064600,93,53.45,17.53,8.0,11.8
169,Chota,75,EC,1514062800,71,0.47,-78.07,14.0,3.6
170,Amapa,40,HN,1514062800,83,15.09,-87.97,28.0,6.2
171,Bawku,0,GH,1514065591,35,11.06,-0.24,21.09,3.26
172,Heidelberg,88,DE,1514065472,98,49.41,8.69,5.74,5.76
173,Port Hope,90,CA,1514065260,86,43.95,-78.29,-3.34,3.1
174,Chiredzi,48,ZW,1514065592,74,-21.05,31.67,26.14,2.59
175,Luderitz,0,NA,1514062800,72,-26.65,15.16,16.0,8.7
176,Eyl,0,SO,1514065593,88,7.98,49.82,24.24,10.16
177,Bilma,0,NE,1514065594,48,18.69,12.92,14.62,6.76
178,Uvira,36,CD,1514065594,100,-3.41,29.14,17.99,1.66
179,Kaduqli,0,SD,1514065595,80,11.01,29.72,18.47,1.16
180,San Joaquin,68,PH,1514065595,96,10.59,122.14,24.22,1.59
181,Saint-Joseph,0,FR,1514064600,80,43.56,6.97,4.93,2.6
182,Bama,0,CN,1514065596,78,24.14,107.25,8.44,3.16
183,Crotone,0,IT,1514062200,61,39.09,17.12,10.0,6.7
184,Yenagoa,20,NG,1514065598,88,4.92,6.26,24.44,2.34
185,Resplendor,88,BR,1514065598,73,-19.33,-41.26,26.24,2.91
186,Eatonton,90,US,1514063160,73,33.33,-83.39,20.25,3.1
187,Tamale,0,GH,1514065599,33,9.4,-0.84,22.47,3.26
188,Hofn,48,IS,1514065600,100,64.25,-15.21,2.24,2.56
189,Vila Franca do Campo,20,PT,1514064600,72,37.72,-25.43,17.0,2.1
190,Walvis Bay,0,NA,1514062800,77,-22.95,14.51,16.0,0.5
191,Eenhana,100,NA,1514065602,92,-17.48,16.34,19.49,4.09
192,Sirtich,24,RU,1514065602,68,41.83,48.23,3.19,2.46
193,Danville,90,US,1514063700,93,36.59,-79.4,17.44,3.6
194,Lages,92,BR,1514065603,99,-27.82,-50.33,20.39,1.81
195,Verkhnetulomskiy,20,RU,1514062800,76,68.61,31.8,-23.0,1.0
196,High Rock,75,BS,1514062800,73,26.63,-78.28,25.0,4.6
197,Carutapera,36,BR,1514065604,80,-1.2,-46.02,27.84,3.46
198,Saint Anthony,75,US,1514062560,73,43.97,-111.68,-5.36,3.1
199,Imbituba,40,BR,1514062800,94,-28.24,-48.67,24.0,3.6
200,Biskamzha,44,RU,1514065605,78,53.45,89.53,-12.79,1.01
201,Leh,64,IN,1514065606,57,34.16,77.58,-26.89,0.66
202,Salym,92,RU,1514065606,84,60.06,71.48,-8.21,5.04
203,Awbari,0,LY,1514065607,83,26.59,12.77,2.82,2.41
204,Aveiras de Cima,0,PT,1514064600,76,39.14,-8.9,8.3,1.5
205,Sur,0,OM,1514065607,100,22.57,59.53,20.72,1.44
206,Oranjestad,20,AW,1514062800,74,12.52,-70.03,29.0,7.2
207,Kavaratti,0,IN,1514065560,100,10.57,72.64,28.39,4.41
208,Ugoofaaru,32,MV,1514065609,100,5.67,73.0,27.79,6.21
209,Carnarvon,0,ZA,1514065609,25,-30.97,22.13,14.47,3.01
210,Mahajanga,40,MG,1514062800,83,-15.72,46.32,27.0,2.94
211,Guane,8,CU,1514065610,61,22.2,-84.09,26.89,2.71
212,Gwadar,0,PK,1514065611,91,25.12,62.33,16.64,2.64
213,Dwarka,0,IN,1514062800,76,28.58,77.04,11.0,1.24
214,Sebastian,75,US,1514062560,69,27.82,-80.47,24.75,5.1
215,Narsipatnam,0,IN,1514065612,100,17.67,82.61,19.24,1.74
216,Areka,0,ET,1514065612,49,7.07,37.71,6.89,2.24
217,Adrar,0,DZ,1514062800,34,27.87,-0.29,10.0,5.7
218,General Pico,0,AR,1514065613,32,-35.66,-63.75,26.32,4.21
219,Necochea,0,AR,1514065614,55,-38.55,-58.74,17.49,6.56
220,Dukhovshchina,88,RU,1514065614,93,55.19,32.41,-3.46,10.69
221,Tahoua,8,NE,1514065614,34,14.89,5.26,22.07,4.96
222,Banda Aceh,64,ID,1514065615,94,5.56,95.32,24.29,1.89
223,Magnitka,12,RU,1514065615,75,55.34,59.7,-9.81,3.09
224,Sechura,0,PE,1514065616,69,-5.56,-80.82,24.87,6.79
225,Bayir,40,TR,1514064000,95,37.27,28.22,7.0,5.1
226,Gander,90,CA,1514062800,73,48.95,-54.61,-5.0,4.1
227,Salalah,0,OM,1514062200,23,17.01,54.1,23.0,3.1
228,Beloha,0,MG,1514065618,95,-25.17,45.06,21.54,2.16
229,Gualeguaychu,88,AR,1514065618,84,-33.01,-58.51,21.22,8.06
230,Quatre Cocos,20,MU,1514062800,88,-20.21,57.76,24.0,3.1
231,Gao,0,ML,1514065619,42,16.28,-0.04,17.37,4.74
232,Gloversville,90,US,1514063820,100,43.05,-74.34,1.0,0.99
233,Mogadishu,0,SO,1514065620,97,2.04,45.34,26.47,11.84
234,Camacha,20,PT,1514064600,72,33.08,-16.33,16.0,2.1
235,Puerto Montt,40,CL,1514062800,44,-41.47,-72.94,15.0,5.1
236,Tshikapa,32,CD,1514065621,100,-6.42,20.79,20.94,0.94
237,Berlevag,8,NO,1514065623,100,70.86,29.09,-12.04,1.79
238,Agropoli,0,IT,1514065623,100,40.35,15.0,9.14,3.31
239,Urengoy,92,RU,1514065623,88,65.96,78.37,-8.04,6.11
240,Dano,0,BF,1514065624,29,11.14,-3.06,20.22,3.71
241,Kumluca,24,TR,1514065625,94,36.37,30.29,1.34,1.01
242,Tornio,90,FI,1514064000,87,61.12,27.27,1.0,5.7
243,Platanos,75,GR,1514064000,87,35.47,23.6,9.0,6.2
244,Raudeberg,92,NO,1514064000,81,61.99,5.14,6.0,7.2
245,Carballo,20,ES,1514064600,100,43.21,-8.69,6.03,1.5
246,Jaisalmer,0,IN,1514065627,81,26.91,70.91,9.69,1.21
247,Pinar del Rio,8,CU,1514065627,61,22.42,-83.7,26.89,2.71
248,Villarrica,0,CL,1514065628,53,-39.28,-72.23,18.22,1.49
249,Kommunisticheskiy,76,RU,1514065628,75,61.68,64.48,-8.51,4.39
250,Valparaiso,20,US,1514063700,59,41.47,-87.06,-0.02,3.1
251,Pelym,80,RU,1514065629,80,61.01,62.0,-7.79,2.91
252,Alcacer do Sal,0,PT,1514064600,76,38.37,-8.51,8.61,1.5
253,Dobryanka,75,RU,1514062800,92,58.45,56.42,-9.0,5.0
254,Campbellsville,90,US,1514063700,93,37.34,-85.34,4.05,3.6
255,Lima,20,PE,1514065584,60,-12.06,-77.04,22.14,1.34
256,Forestville,90,CA,1514062800,92,48.74,-69.09,-11.0,4.1
257,Paamiut,80,GL,1514065633,100,61.99,-49.67,-1.21,9.94
258,Chicama,0,PE,1514062800,78,-7.84,-79.15,22.0,4.6
259,Hearst,56,CA,1514065541,62,49.69,-83.67,-12.64,2.39
260,San Andres,32,PH,1514065634,99,13.32,122.68,27.47,7.64
261,Bafq,0,IR,1514065635,46,31.6,55.4,5.32,1.24
262,Polunochnoye,76,RU,1514065635,82,60.87,60.43,-8.86,3.81
263,Wattegama,80,LK,1514065635,90,7.35,80.68,20.62,1.34
264,Grumo Appula,0,IT,1514064000,71,41.01,16.71,7.89,4.1
265,Kamenka,76,RU,1514065636,89,53.19,44.05,-5.89,2.84
266,Qaqortoq,48,GL,1514062200,53,60.72,-46.03,-3.0,1.0
267,Rosa Zarate,92,EC,1514065638,96,0.33,-79.47,25.09,1.74
268,Herat,12,AF,1514065638,80,34.35,62.22,1.97,1.21
269,Ambilobe,92,MG,1514065638,99,-13.19,49.05,22.24,0.81
270,Debre Birhan,0,ET,1514065639,69,9.68,39.53,-2.64,0.39
271,Koygorodok,76,RU,1514065640,81,60.44,51.01,-7.29,2.64
272,Saint-Pierre,90,FR,1514064600,93,48.95,4.24,7.0,4.6
273,Sao Gabriel da Cachoeira,32,BR,1514065641,79,-0.13,-67.09,28.44,0.94
274,Semey,0,KZ,1514065641,78,50.41,80.25,-13.96,4.14
275,Sao Felix do Xingu,80,BR,1514065642,91,-6.64,-51.99,24.89,1.16
276,Atocha,20,EC,1514062800,46,-1.22,-78.6,21.93,4.1
277,Roros,88,NO,1514064000,92,62.57,11.38,-4.0,1.5
278,Road Town,40,VG,1514062800,74,18.42,-64.62,27.55,8.2
279,Kyzyl-Suu,12,KG,1514065645,100,42.34,78.0,-4.96,0.11
280,Carbonia,0,IT,1514064000,86,39.17,8.53,5.0,2.6
281,Bara,12,NG,1514065646,32,10.41,10.6,24.34,4.09
282,Laguna,75,MX,1514061660,13,27.52,-110.01,26.0,2.6
283,Puerto Ayacucho,40,CO,1514062800,49,5.66,-67.63,33.0,7.7
284,Meulaboh,48,ID,1514065647,100,4.14,96.13,25.54,1.66
285,Kudahuvadhoo,76,MV,1514065648,100,2.67,72.89,27.09,4.59
286,Karpogory,92,RU,1514065649,86,64.0,44.44,-4.86,2.04
287,Tacuarembo,80,UY,1514065649,69,-31.73,-55.98,25.22,6.39
288,Yarkovo,90,RU,1514062800,85,54.81,82.6,-9.0,3.0
289,Praia,0,BR,1514062800,45,-20.25,-43.81,28.47,4.1
290,Acu,75,BR,1514062800,88,-3.35,-60.45,25.0,1.5
291,Saint George,20,GR,1514062200,74,39.45,22.34,2.0,4.6
292,Bathsheba,40,BB,1514062800,74,13.22,-59.52,27.0,8.2
293,Constitucion,90,MX,1514062140,26,23.99,-104.67,22.0,1.5
294,Csemo,75,HU,1514064600,70,47.12,19.69,6.64,10.3
295,Nkoteng,64,CM,1514065653,75,4.5,12.12,24.32,4.04
296,Vyatskiye Polyany,64,RU,1514065654,90,56.22,51.07,-7.89,4.51
297,Molchanovo,88,RU,1514065654,84,57.58,83.76,-11.41,3.04
298,Yar-Sale,80,RU,1514065655,94,66.83,70.83,-8.26,6.11
299,Upata,80,VE,1514065655,71,8.02,-62.41,25.22,3.51
300,Alta Floresta,56,BR,1514065656,83,-9.87,-56.08,27.07,1.04
301,Luba,12,PH,1514065656,87,17.32,120.7,20.82,1.34
302,Rafai,0,CF,1514065657,76,4.95,23.92,22.72,1.74
303,Hambantota,0,LK,1514065658,100,6.12,81.12,25.79,5.84
304,Ipixuna,75,BR,1514062800,88,-1.76,-48.8,25.0,3.1
305,Sayyan,0,YE,1514065659,61,15.17,44.32,-3.46,1.14
306,Coquimbo,20,CL,1514062800,72,-29.95,-71.34,18.0,5.1
307,Bolgatanga,0,GH,1514065660,34,10.79,-0.85,21.12,3.14
308,Huarmey,24,PE,1514065660,55,-10.07,-78.15,24.32,1.89
309,Kochevo,48,BG,1514064600,64,42.1,24.92,4.0,7.2
310,Santona,20,ES,1514064600,81,43.44,-3.46,9.0,2.6
311,Yanam,0,IN,1514065662,83,16.73,82.22,20.74,2.64
312,Asyut,0,EG,1514062800,62,27.18,31.19,15.0,5.1
313,Rajec,90,SK,1514064600,93,49.09,18.64,3.55,2.1
314,Salamiyah,64,SY,1514065663,86,35.01,37.05,9.44,1.91
315,Nioro,48,GM,1514065664,31,13.79,-15.05,21.72,5.44
316,Chebsara,48,RU,1514065664,89,59.2,38.84,-5.41,5.89
317,Callaway,40,US,1514063700,73,46.98,-95.91,-7.61,4.6
318,Jalingo,0,NG,1514065665,34,9.93,13.08,22.99,3.24
319,Pacocha,75,EC,1514062800,52,-1.05,-80.87,31.0,6.2
320,Dovers,56,VC,1514065666,100,12.88,-61.18,24.57,7.31
321,Beaune,90,FR,1514064600,100,47.02,4.84,6.0,0.94
322,Lucapa,92,AO,1514065667,100,-8.42,20.74,18.97,1.56
323,Kalach-na-Donu,75,RU,1514062800,100,48.69,43.52,-4.0,3.0
324,Kibondo,64,TZ,1514065668,75,-3.59,30.72,19.79,1.04
325,Korenovsk,75,RU,1514062800,96,45.46,39.45,1.0,2.0
326,Bogandinskiy,0,RU,1514062800,84,56.89,65.89,-13.0,5.0
327,Maceio,75,BR,1514062800,88,-9.67,-35.74,25.0,3.1
328,Diplo,0,PK,1514065670,81,24.47,69.59,11.22,1.26
329,Coihaique,90,CL,1514062800,50,-45.58,-72.07,10.88,4.1
330,Biltine,0,TD,1514065671,27,14.53,20.93,22.49,5.26
331,Florianopolis,40,BR,1514062800,94,-27.6,-48.55,24.0,3.6
332,Marawi,36,PH,1514065672,100,8.0,124.29,18.99,1.06
333,Elizabeth City,1,US,1514064000,72,36.3,-76.22,19.82,4.6
334,Komsomolskiy,64,RU,1514065673,84,67.55,63.78,-7.79,3.96
335,Geraldton,20,CA,1514062800,60,49.72,-86.95,-14.0,2.1
336,Darnah,88,LY,1514065674,100,32.77,22.64,15.22,9.41
337,Antalaha,80,MG,1514065674,96,-14.9,50.28,24.72,2.11
338,Santa Cruz,1,US,1514064900,49,36.97,-122.03,13.21,2.6
339,Araouane,76,ML,1514065676,33,18.9,-3.53,13.14,4.76
340,Trairi,76,BR,1514065677,100,-3.28,-39.27,26.24,6.51
341,Havre-Saint-Pierre,90,CA,1514062800,65,50.23,-63.6,-14.0,6.7
342,Kutum,0,SD,1514065678,37,14.2,24.66,16.87,4.94
343,Nouakchott,64,MR,1514065678,91,18.08,-15.98,20.32,6.76
344,Germenchik,92,RU,1514065679,100,43.54,46.73,3.49,2.34
345,Buraydah,0,SA,1514062800,41,26.33,43.97,15.0,3.6
346,Truro,92,GB,1514062200,100,50.26,-5.05,9.0,3.6
347,Prado,0,BR,1514065680,97,-17.34,-39.22,26.22,5.61
348,Namur,75,BE,1514064000,93,50.47,4.87,8.34,8.7
349,Dangriga,75,BZ,1514062800,78,16.97,-88.23,28.0,3.1
350,Bandarbeyla,0,SO,1514065682,100,9.49,50.81,24.94,10.84
351,Monze,0,ZM,1514065683,96,-16.28,27.48,20.44,1.91
352,Dutlwe,12,BW,1514065683,25,-23.98,23.93,22.24,4.49
353,Huesca,90,ES,1514062800,100,42.14,-0.41,1.0,0.5
354,Springdale,40,US,1514064660,80,36.19,-94.13,1.0,2.1
355,Axim,0,GH,1514065685,98,4.87,-2.24,27.39,4.16
356,Pataskala,90,US,1514064300,95,40.0,-82.67,1.0,5.7
357,Puerto del Rosario,20,ES,1514064600,67,28.5,-13.86,16.45,5.1
358,Saint-Augustin,90,FR,1514064600,87,44.83,-0.61,9.0,1.5
359,Belyy Yar,88,RU,1514062800,85,53.6,91.39,-8.0,1.0
360,Oranjemund,0,ZA,1514065688,97,-28.55,16.43,16.37,6.74
361,Vincennes,90,US,1514063700,80,38.68,-87.53,2.0,3.6
362,Tchollire,0,CM,1514065689,69,8.4,14.17,20.39,1.14
363,Vila Velha,75,BR,1514062800,78,-3.71,-38.6,27.0,4.1
364,Hof,90,DE,1514062560,93,50.32,11.92,6.0,4.1
365,Pisco,0,PE,1514062800,69,-13.71,-76.2,24.0,11.3
366,Los Llanos de Aridane,20,ES,1514064600,55,28.66,-17.92,18.0,4.6
367,Grootfontein,68,NA,1514065692,80,-19.56,18.1,20.19,0.71
368,Gudivada,0,IN,1514065692,89,16.43,80.99,19.69,2.46
369,Makat,92,KZ,1514065693,92,47.65,53.35,-5.29,4.21
370,Padang,88,ID,1514065693,100,-0.92,100.36,26.29,0.76
371,Kasongo,32,CD,1514065693,94,-4.43,26.67,22.37,0.99
